id,url,contact_city,contact_state,cleanLoc,fullDes,manualLoc
43877389,https://www.petfinder.com/dog/palang-43877389/co/pueblo/paws-for-life-animal-welfare-and-protection-society-co02/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Pueblo,Colorado,Afghanistan,"Palang is such a sweetheart. She loves her people very much and likes getting loved on. She can be shy at first. She came from Afghanistan so we aren’t sure of her breed. She is partially deaf. She does have a bite history, so will need a home with no children and visitors. She also prefers taller and slender people. Age: 4 Years",
43082511,https://www.petfinder.com/dog/brooke-43082511/ct/manchester/our-companions-animal-rescue-ct145/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Manchester,Connecticut,Afghanistan,"Brooke has an unusual past.  She was rescued from Afghanistan as a puppy and made her way to the US to our sanctuary!  She is a sight-hound mix and has all the wonderful attributes that they possess.  If you would like a dog that can run like the wind then she is the dog for you!  An ancient breed, they were the hunting dogs and Brooke certainly thinks she should be queen!This speed and the unusual ability to see far into the distance necessitates a fenced in yard or a place that is fenced where she can stretch those long legs of hers!  She walks well on leash but likes to be able to feel the wind in her fur!We have asked Brooke what she would like in her very own home and she feels she would like an adult home who have dog experience.   She also requests that she be the only animal in the home!   The fenced in yard is a plus, lots of toys to enjoy and destuff, her very own bed, and people who love her sensitive side!To learn more about this absolutely gorgeous gal, call Our Companions Animal Rescue at 242-9999 or e-mail daryl@ourcompanions.org~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~All of the pets promoted by Our Companions Animal Rescue are located in CT.  As such we wish to adopt animals into homes in the greater CT area.  Pets are in various locations so we request that an appointment is made to meet with a specific pet we are advertising. Contact the person listed on the pet’s profile to find out more about our adoption process for a specific pet or e-mail Helpline@ourcompanions.org for general inquiries.",
44740613,https://www.petfinder.com/dog/sparky-44740613/co/westminster/evergreen-animal-protective-league-eapl-westiminster-location-co405/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Westminster,Colorado,Alabama,"Sparky is a sweet, playful, loving and affectionate, drop-dead gorgeous husky mix.He'sabout 52 pounds and2 years old; we gave him a guesstimated bd of 2/14/2017 (lucky Valentines day boy!).He needs a .... super active family, secure 6' fence and yard with plenty of room to run and play, hopefully someone who works from home and/or can take him to work.Sparky is having a great time with his Colorado foster Mom and her pack, playing in the yard, at dog parks and doggie day care. Did we mention he LOVES water?? Sparky came to us from Alabama and is learning how to socialize with dogs who aren't quite as active as he is. He would benefit from a furever family who is familiar with the unique qualities of husky dogs and has the patience to provide him with some additional training. In return, he will love on you all day and night! Interestedin this special boy? Put in an application at www.eapl.com",
44739540,https://www.petfinder.com/dog/sparky-44739540/co/evergreen/evergreen-animal-protective-league-eapl-co132/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Evergreen,Colorado,Alabama,"Sparky is a sweet, playful, loving and affectionate, drop-dead gorgeous husky mix.He'sabout 52 pounds and2 years old; we gave him a guesstimated bd of 2/14/2017 (lucky Valentines day boy!).He needs a .... super active family, secure 6' fence and yard with plenty of room to run and play, hopefully someone who works from home and/or can take him to work.Sparky is having a great time with his Colorado foster Mom and her pack, playing in the yard, at dog parks and doggie day care. Did we mention he LOVES water?? Sparky came to us from Alabama and is learning how to socialize with dogs who aren't quite as active as he is. He would benefit from a furever family who is familiar with the unique qualities of husky dogs and has the patience to provide him with some additional training. In return, he will love on you all day and night! Interestedin this special boy? Put in an application at www.eapl.com",
45104126,https://www.petfinder.com/dog/frampton-45104126/ny/new-york/rescue-dogs-rock-nyc-ny1274/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,New York,New York,Alabama,"You can fill out an adoption application online on our official website.Frampton comes to rescue from Alabama with demodex mange. He is currently 4 months old and approximately 17 pounds. Frampton is up to date on vaccines and has been neutered. Darling Frampton would love a home where he can play and run around like a puppy. He is great with people of all ages and with other dogs. If you would like to adopt Frampton, please put your application in here: http://www.rescuedogsrocknyc.org",
45104140,https://www.petfinder.com/dog/jovi-45104140/ny/new-york/rescue-dogs-rock-nyc-ny1274/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,New York,New York,Alabama,"You can fill out an adoption application online on our official website.Jovi is a pup to LaBelle, a terrier blend who comes to rescue from a shelter in Alabama. He is about 3 months old and 10 pounds. We do not know what he is blended with, but if we were to guess we would say maybe a terrier/lab blend. We DO know he is very cute! Jovi is up to date on vaccines (age appropriate) and will be neutered prior to placement in his forever home. He is great with people of all ages and with other dogs. If you would like to adopt Jovi, please put your application in here: http://www.rescuedogsrocknyc.org",
45104139,https://www.petfinder.com/dog/halen-45104139/ny/new-york/rescue-dogs-rock-nyc-ny1274/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,New York,New York,Alabama,"You can fill out an adoption application online on our official website.Halen comes to rescue as a pup to LaBelle and is from Alabama. He is about 3 months old and 10 pounds. Halen is a terrier blend, we don't know what he is blended with but appears to possibly be lab. He is up to date on vaccines, will be neutered prior to placement in his forever home, is great with people of all ages and with other dogs. If you would like to adopt sweet Halen, please put your application in here: http://www.rescuedogsrocknyc.org",
45104138,https://www.petfinder.com/dog/roxette-45104138/ny/new-york/rescue-dogs-rock-nyc-ny1274/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,New York,New York,Alabama,"You can fill out an adoption application online on our official website.Roxette is a pup to LaBelle and is a terrier blend female. She comes to rescue from an Alabama shelter. She is currently 3 months old and about 10 pounds. Roxette is up to date on vaccines (age appropriate) and will be spayed prior to placement in her forever home. She is great with people of all ages, and with other dogs. If you would like to adopt Roxette, please put your application in here: http://www.rescuedogsrocknyc.org",
45066606,https://www.petfinder.com/dog/dez-45066606/ct/enfield/yappy-tails-animal-rescue-inc-ct585/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Enfield,Connecticut,Alabama,"**Please note: Due to strict import and quarantine laws, we are unable to adopt to residents of Massachusetts.**Meet Dez! This sweet pup is joining us from Alabama. He's an owner surrender.Poor Dez hadn'tbeen fixed & was marking in the house, so his family brought him to the shelter. He has since been neutered & is working on indoor manners. With a little patience, he'll be just fine! Dez is about a year old. He's neutered, heartworm negative, on preventative,and on flea/tick preventative. He's a fun loving puppy who loves dogs, adults, and kids! He's untested around cats.If you are interested in Dex,please apply online at yappytails.org/adoption-process/. Our adoption fee is $450.00.",
45064228,https://www.petfinder.com/dog/lambo-avail-june-22-ct-45064228/ct/ellington/pawsafe-ct330/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Ellington,Connecticut,Alabama,"[Meet me in Ellington CT]I am cute, scruffy, and precious.  Well actually all of us are.  We are a litter of 7 that were rescued from Alabama and are now ready to find families we can call ours.  We look to be terrier / heeler mixes but only a DNA test will reveal what we really are.  The PawSafe folks guess that we will be medium sized when all grown up.",
